BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.7,15.5,22.7,32.4,17.3,52.0,15.9,11.0,12.5,17.6,9.9,25.0,3.7,6.9,2.7,11.0,2.1,15.4
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.5,15.5,22.5,32.5,17.1,52.1,15.7,11.1,12.4,17.7,9.8,25.1,3.7,6.9,2.8,11.0,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.6,15.5,22.5,32.4,17.2,52.1,15.7,11.1,12.3,17.7,9.8,25.1,3.5,6.9,2.8,11.0,2.1,15.4
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.9,15.4,22.8,32.3,17.4,51.9,15.9,11.0,12.5,17.6,9.9,25.0,3.6,6.9,2.7,11.0,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
31.1,15.4,22.9,32.3,17.5,51.8,15.9,11.0,12.5,17.6,9.9,25.0,3.6,6.9,2.8,10.9,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
31.0,15.4,22.9,32.3,17.5,51.9,15.9,11.0,12.5,17.6,9.9,25.0,3.7,6.9,2.7,10.9,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.5,22.7,32.2,17.4,51.8,15.8,11.0,12.3,17.6,9.9,25.1,3.6,7.0,2.7,11.0,2.1,15.4
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.4,22.7,32.3,17.4,52.0,15.9,11.0,12.4,17.6,9.9,25.0,3.7,6.9,2.7,10.9,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.9,15.4,22.7,32.3,17.4,52.0,15.9,11.0,12.5,17.6,9.9,25.0,3.7,6.8,2.8,10.9,2.1,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.9,15.4,22.8,32.3,17.4,51.9,15.9,11.0,12.5,17.6,9.9,25.0,3.7,6.9,2.7,10.9,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.4,22.7,32.3,17.1,52.0,15.6,11.1,12.2,17.7,9.7,25.2,3.8,6.8,2.9,10.9,2.1,15.3
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.7,15.5,22.6,32.4,17.3,52.1,15.7,11.1,12.3,17.7,9.8,25.1,3.9,6.8,2.8,10.8,2.3,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.4,22.7,32.3,17.2,51.9,15.8,11.1,12.3,17.7,9.8,25.1,3.8,6.7,2.9,10.8,2.2,15.1
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.9,15.4,22.8,32.3,17.4,51.8,15.8,11.1,12.4,17.6,9.8,25.1,4.0,6.7,3.0,10.8,2.3,15.1
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.9,15.4,22.8,32.3,17.3,51.9,15.7,11.0,12.3,17.6,9.8,25.1,3.8,6.8,2.8,10.9,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
31.0,15.4,22.8,32.3,17.5,51.8,15.8,11.0,12.4,17.6,9.9,25.0,3.8,6.8,2.8,10.8,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
31.1,15.4,22.9,32.2,17.5,51.8,15.8,11.0,12.4,17.6,9.9,25.0,3.9,6.7,2.9,10.7,2.3,15.0
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
31.1,15.4,22.9,32.2,17.4,51.8,15.9,11.0,12.5,17.6,9.9,25.0,3.8,6.7,2.9,10.8,2.2,15.1
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.4,22.7,32.2,17.4,51.8,15.8,11.0,12.4,17.6,9.9,25.0,3.8,6.8,2.8,10.8,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.8,15.4,22.7,32.3,17.4,51.9,15.9,11.0,12.4,17.6,9.9,25.0,3.8,6.8,2.9,10.8,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
30.7,15.5,22.6,32.4,17.2,52.0,15.8,11.1,12.4,17.7,9.8,25.1,3.8,6.7,2.9,10.8,2.2,15.1
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
29.4,15.8,21.6,33.0,16.4,52.8,15.2,11.3,11.9,18.0,9.4,25.5,3.7,6.8,2.9,10.8,2.3,15.1
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
29.7,15.8,21.6,32.9,16.4,52.7,15.2,11.3,11.9,18.0,9.4,25.5,3.7,6.8,2.8,10.8,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
29.7,15.7,21.8,32.8,16.6,52.6,15.2,11.3,11.9,18.0,9.4,25.5,3.7,6.8,2.8,10.9,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
29.8,15.7,21.9,32.8,16.6,52.6,15.2,11.3,11.9,18.0,9.4,25.5,3.8,6.8,2.8,10.9,2.2,15.2
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
37.3,13.2,27.9,28.9,21.6,47.5,19.1,9.5,15.2,15.6,12.2,22.6,3.1,7.2,2.2,11.3,1.7,15.7
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
37.5,13.2,28.1,28.8,21.7,47.5,19.0,9.5,15.2,15.6,12.2,22.6,3.1,7.1,2.3,11.3,1.7,15.8
